id = 34, result = 335590.0, COST_COAST = 40, COST_DIAGONAL = 73, MAX_COST = 9495324, COST_TILE = 147, COST_TURN = 36, COST_SLOPE = 131, COST_TUNNEL = 161, MAX_BRIDGE_LEN = 3, COST_BRIDGE = 169, COST_ADJ_OBST = 51, COST_NO_ADJ_RAIL = 41, MAX_TUNNEL_LEN = 19
id = 35, result = 646665.625, COST_COAST = 15, COST_DIAGONAL = 105, MAX_COST = 17405457, COST_TILE = 175, COST_TURN = 50, COST_SLOPE = 101, COST_TUNNEL = 133, MAX_BRIDGE_LEN = 6, COST_BRIDGE = 226, COST_ADJ_OBST = 11, COST_NO_ADJ_RAIL = 45, MAX_TUNNEL_LEN = 4
id = 36, result = 329270.375, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 43, COST_TILE = 194, COST_TURN = 83, COST_SLOPE = 174, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 216, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 3
id = 37, result = 339539.625, COST_COAST = 13, MAX_COST = 8256401, COST_DIAGONAL = 43, COST_TILE = 187, COST_TURN = 77, COST_SLOPE = 174, COST_TUNNEL = 192, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 216, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 11, MAX_TUNNEL_LEN = 3
id = 38, result = 411484.0, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 43, COST_TILE = 194, COST_TURN = 87, COST_SLOPE = 174, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 215, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 10, MAX_TUNNEL_LEN = 3
id = 39, result = 753789.375, COST_COAST = 13, MAX_COST = 11683867, COST_DIAGONAL = 43, COST_TILE = 194, COST_TURN = 87, COST_SLOPE = 174, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 244, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 3
id = 40, result = 348176.0, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 60, COST_TILE = 194, COST_TURN = 87, COST_SLOPE = 174, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 216, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 3
id = 41, result = 322085.25, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 43, COST_TILE = 194, COST_TURN = 59, COST_SLOPE = 174, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 72, COST_BRIDGE = 216, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 3
id = 42, result = 334930.875, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 43, COST_TILE = 194, COST_TURN = 87, COST_SLOPE = 174, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 186, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 3
id = 43, result = 579927.125, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 43, COST_TILE = 194, COST_TURN = 87, COST_SLOPE = 119, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 216, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 3
id = 44, result = 208140.5, COST_COAST = 35, COST_DIAGONAL = 91, MAX_COST = 9418807, COST_TILE = 144, COST_TURN = 90, COST_SLOPE = 96, COST_TUNNEL = 110, MAX_BRIDGE_LEN = 19, COST_BRIDGE = 76, COST_ADJ_OBST = 68, COST_NO_ADJ_RAIL = 88, MAX_TUNNEL_LEN = 11
id = 45, result = 362235.875, COST_COAST = 19, COST_DIAGONAL = 114, MAX_COST = 12528910, COST_TILE = 63, COST_TURN = 96, COST_SLOPE = 103, COST_TUNNEL = 102, MAX_BRIDGE_LEN = 4, COST_BRIDGE = 214, COST_ADJ_OBST = 73, COST_NO_ADJ_RAIL = 6, MAX_TUNNEL_LEN = 18
id = 46, result = 163230.25, COST_COAST = 13, COST_DIAGONAL = 40, MAX_COST = 11748673, COST_TILE = 59, COST_TURN = 38, COST_SLOPE = 194, COST_TUNNEL = 221, MAX_BRIDGE_LEN = 6, COST_BRIDGE = 196, COST_ADJ_OBST = 37, COST_NO_ADJ_RAIL = 63, MAX_TUNNEL_LEN = 11
id = 47, result = 467330.125, COST_COAST = 29, COST_DIAGONAL = 92, MAX_COST = 15596479, COST_TILE = 156, COST_TURN = 90, COST_SLOPE = 165, COST_TUNNEL = 217, MAX_BRIDGE_LEN = 17, COST_BRIDGE = 207, COST_ADJ_OBST = 27, COST_NO_ADJ_RAIL = 11, MAX_TUNNEL_LEN = 10
id = 48, result = 283861.125, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 43, COST_TILE = 194, COST_TURN = 79, COST_SLOPE = 180, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 216, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 3
id = 49, result = 298175.25, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 43, COST_TILE = 194, COST_TURN = 73, COST_SLOPE = 174, COST_TUNNEL = 205, COST_NO_ADJ_RAIL = 57, COST_BRIDGE = 262, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 3
id = 50, result = 302937.625, COST_COAST = 13, MAX_COST = 10056252, COST_DIAGONAL = 43, COST_TILE = 189, COST_TURN = 76, COST_SLOPE = 174, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 216, COST_ADJ_OBST = 65, MAX_BRIDGE_LEN = 13, MAX_TUNNEL_LEN = 3
id = 51, result = 467319.25, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 43, COST_TILE = 194, COST_TURN = 84, COST_SLOPE = 174, COST_TUNNEL = 193, COST_NO_ADJ_RAIL = 37, COST_BRIDGE = 199, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 3
id = 52, result = 414329.5, COST_COAST = 13, MAX_COST = 8086076, COST_DIAGONAL = 43, COST_TILE = 194, COST_TURN = 87, COST_SLOPE = 174, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 297, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 3, MAX_TUNNEL_LEN = 3
id = 53, result = 368568.5, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 43, COST_TILE = 194, COST_TURN = 87, COST_SLOPE = 174, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 216, COST_ADJ_OBST = 74, MAX_BRIDGE_LEN = 4, MAX_TUNNEL_LEN = 3
id = 54, result = 569696.0, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 43, COST_TILE = 194, COST_TURN = 87, COST_SLOPE = 174, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 216, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 7, MAX_TUNNEL_LEN = 3
id = 55, result = 551664.75, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 43, COST_TILE = 194, COST_TURN = 87, COST_SLOPE = 174, COST_TUNNEL = 168, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 104, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 20
id = 56, result = 469232.0, COST_COAST = 26, COST_DIAGONAL = 89, MAX_COST = 15207210, COST_TILE = 164, COST_TURN = 83, COST_SLOPE = 145, COST_TUNNEL = 131, MAX_BRIDGE_LEN = 20, COST_BRIDGE = 105, COST_ADJ_OBST = 38, COST_NO_ADJ_RAIL = 51, MAX_TUNNEL_LEN = 15
id = 57, result = 186706.75, COST_COAST = 12, COST_DIAGONAL = 122, MAX_COST = 11618798, COST_TILE = 119, COST_TURN = 68, COST_SLOPE = 143, COST_TUNNEL = 183, MAX_BRIDGE_LEN = 9, COST_BRIDGE = 167, COST_ADJ_OBST = 11, COST_NO_ADJ_RAIL = 87, MAX_TUNNEL_LEN = 14
id = 58, result = 272712.375, COST_COAST = 15, COST_DIAGONAL = 88, MAX_COST = 10020476, COST_TILE = 120, COST_TURN = 33, COST_SLOPE = 115, COST_TUNNEL = 189, MAX_BRIDGE_LEN = 19, COST_BRIDGE = 161, COST_ADJ_OBST = 3, COST_NO_ADJ_RAIL = 51, MAX_TUNNEL_LEN = 13
id = 59, result = 662314.375, COST_COAST = 40, COST_DIAGONAL = 120, MAX_COST = 7533675, COST_TILE = 104, COST_TURN = 49, COST_SLOPE = 143, COST_TUNNEL = 164, MAX_BRIDGE_LEN = 19, COST_BRIDGE = 160, COST_ADJ_OBST = 37, COST_NO_ADJ_RAIL = 12, MAX_TUNNEL_LEN = 12
id = 60, result = 483417.5, COST_COAST = 13, MAX_COST = 10094514, COST_DIAGONAL = 43, COST_TILE = 193, COST_TURN = 94, COST_SLOPE = 172, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 216, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 3
id = 61, result = 374034.125, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 39, COST_TILE = 194, COST_TURN = 86, COST_SLOPE = 174, COST_TUNNEL = 201, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 216, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 5
id = 62, result = 344615.0, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 43, COST_TILE = 189, COST_TURN = 87, COST_SLOPE = 174, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 216, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 3
id = 63, result = 487538.625, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 51, COST_TILE = 194, COST_TURN = 87, COST_SLOPE = 174, COST_TUNNEL = 176, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 216, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 5
id = 64, result = 83066.0, COST_COAST = 31, COST_DIAGONAL = 42, MAX_COST = 12105258, COST_TILE = 78, COST_TURN = 93, COST_SLOPE = 159, COST_TUNNEL = 240, MAX_BRIDGE_LEN = 10, COST_BRIDGE = 249, COST_ADJ_OBST = 15, COST_NO_ADJ_RAIL = 78, MAX_TUNNEL_LEN = 12
id = 65, result = 270725.375, COST_COAST = 35, COST_DIAGONAL = 113, MAX_COST = 11045734, COST_TILE = 88, COST_TURN = 81, COST_SLOPE = 124, COST_TUNNEL = 74, MAX_BRIDGE_LEN = 5, COST_BRIDGE = 244, COST_ADJ_OBST = 98, COST_NO_ADJ_RAIL = 35, MAX_TUNNEL_LEN = 10
id = 66, result = 253243.875, COST_COAST = 27, COST_DIAGONAL = 109, MAX_COST = 15171900, COST_TILE = 174, COST_TURN = 65, COST_SLOPE = 114, COST_TUNNEL = 226, MAX_BRIDGE_LEN = 16, COST_BRIDGE = 178, COST_ADJ_OBST = 36, COST_NO_ADJ_RAIL = 86, MAX_TUNNEL_LEN = 14
id = 67, result = 564221.125, COST_COAST = 11, COST_DIAGONAL = 95, MAX_COST = 15276436, COST_TILE = 165, COST_TURN = 36, COST_SLOPE = 160, COST_TUNNEL = 157, MAX_BRIDGE_LEN = 20, COST_BRIDGE = 117, COST_ADJ_OBST = 1, COST_NO_ADJ_RAIL = 44, MAX_TUNNEL_LEN = 3
id = 68, result = 309434.0, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 43, COST_TILE = 88, COST_TURN = 87, COST_SLOPE = 174, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 216, COST_ADJ_OBST = 16, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 13
id = 69, result = 413122.375, COST_COAST = 13, MAX_COST = 12248453, COST_DIAGONAL = 43, COST_TILE = 194, COST_TURN = 87, COST_SLOPE = 174, COST_TUNNEL = 240, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 216, COST_ADJ_OBST = 43, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 3
id = 70, result = 529158.0, COST_COAST = 19, MAX_COST = 9295524, COST_DIAGONAL = 43, COST_TILE = 194, COST_TURN = 87, COST_SLOPE = 175, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 216, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 3
id = 71, result = 205882.25, COST_COAST = 13, MAX_COST = 9295524, COST_DIAGONAL = 43, COST_TILE = 78, COST_TURN = 87, COST_SLOPE = 174, COST_TUNNEL = 197, COST_NO_ADJ_RAIL = 52, COST_BRIDGE = 216, COST_ADJ_OBST = 75, MAX_BRIDGE_LEN = 12, MAX_TUNNEL_LEN = 3
id = 72, result = 676394.75, COST_COAST = 36, COST_DIAGONAL = 44, MAX_COST = 11863783, COST_TILE = 200, COST_TURN = 73, COST_SLOPE = 155, COST_TUNNEL = 228, MAX_BRIDGE_LEN = 19, COST_BRIDGE = 106, COST_ADJ_OBST = 59, COST_NO_ADJ_RAIL = 13, MAX_TUNNEL_LEN = 10
